device_id,place,customer_weight,user_home_lat,user_home_long,user_work_lat,user_work_long,venue_lat,venue_long,distance_from_home_miles_mean,distance_from_work_miles_mean,time_in_place_minutes,visit_hour,visit_count,pct_weekend,places_visits
57f59d80ff021131a9b3c3d8,highway,0.0,34.0531,-84.2601,33.9126,-84.3809,34.1014,-84.2687,3.37,14.54,33.5,15.5,2,1.0,1
57f6f4caa5a78f2b68cda8ab,highway,0.0,34.2287,-84.2135,34.1924,-84.1355,34.1014,-84.2687,9.35,9.88,37.0,19.0,1,0.0,1
57fc5051a5a78f6a9879c305,highway,0.0,34.2852,-84.0096,34.0575,-84.7444,34.1014,-84.2687,19.51,27.4,51.0,11.0,1,0.0,1
57fdc8631ae60d5e99c1b3f1,highway,0.0,34.1501,-84.2355,33.7631,-84.388,34.1014,-84.2687,3.86,24.36,140.0,12.0,1,1.0,1
57fe44ffa5a78f0cb679c243,highway,0.0,34.1288,-84.3096,34.0486,-84.2881,34.1014,-84.2687,3.01,3.81,55.82,12.09,11,0.09090909090909091,1
57ff6595a5a78f730779c21f,highway,0.0,34.0934,-84.2921,34.0467,-84.3155,34.1014,-84.2687,1.45,4.63,31.0,13.67,6,0.6666666666666666,1
5803bd46a5a78f17ba79c299,highway,0.0,34.0878,-84.2709,34.0466,-84.2775,34.1014,-84.2687,0.95,3.82,30.0,14.0,1,0.0,1
5804b366a5a78f6e8979c224,highway,0.0,34.1737,-84.2122,34.3238,-84.0559,34.1014,-84.2687,5.95,19.6,24.0,13.0,1,1.0,1
58050013a5a78f114a79c1f6,highway,0.0,34.0875,-84.2906,34.1022,-84.269,34.1014,-84.2687,1.58,0.06,23.5,15.0,2,0.0,1
5805033c397c7770344d32b0,highway,0.0,34.0475,-84.2338,34.071,-84.2763,34.1014,-84.2687,4.23,2.15,17.0,18.0,1,0.0,1
5805d244397c7760e34d3296,highway,82.26,34.067,-84.1836,33.9087,-84.3486,34.1014,-84.2687,5.42,14.08,40.5,14.0,2,1.0,1
5807abb7397c775f6f5f9329,highway,0.0,34.0999,-84.2556,34.0327,-84.0336,34.1014,-84.2687,0.75,14.27,47.0,18.0,1,0.0,1
5807d9541ae60d5c3d420dcd,highway,0.0,34.2178,-84.3557,34.0452,-84.3386,34.1014,-84.2687,9.46,5.58,65.0,13.0,1,0.0,1
580aab99ff021167803589ec,highway,0.0,34.0796,-84.437,34.1391,-84.2405,34.1014,-84.2687,9.75,3.06,53.14,17.0,7,0.0,2
580bbcc11ae60d3d70420da9,highway,0.0,34.0335,-84.1937,34.0272,-84.2499,34.1014,-84.2687,6.36,5.24,20.0,17.0,1,0.0,1
580bda8d1ae60d4f66420dc6,highway,0.0,34.1019,-84.2654,34.0936,-84.2447,34.1014,-84.2687,0.19,1.48,32.0,18.0,1,0.0,1
580c01c0397c774ba15f92d9,highway,0.0,34.0976,-84.2565,34.0844,-84.2576,34.1014,-84.2687,0.75,1.33,24.0,19.0,1,0.0,1
5810eeda1ae60d0f10ba6231,highway,0.0,34.1174,-84.0845,34.0989,-84.2789,34.1014,-84.2687,10.6,0.61,37.0,13.0,1,0.0,1
5811f4b5ff021138f3bbc207,highway,36.93,34.1225,-84.2645,34.0544,-84.2811,34.1014,-84.2687,1.48,3.32,45.0,17.0,1,0.0,1
5813971fa5a78f6c1ad3418e,highway,0.0,34.1099,-84.2677,34.0709,-84.2786,34.1014,-84.2687,0.6,2.18,37.5,12.0,2,0.5,1
5814b569a5a78f6e17d34199,highway,0.0,34.0956,-84.2334,34.0818,-84.2578,34.1014,-84.2687,2.06,1.49,39.0,9.0,1,1.0,1
58164406397c77474bcc7d51,highway,0.0,34.1114,-84.265,33.8961,-84.4529,34.1014,-84.2687,0.73,17.69,66.5,19.0,2,0.0,1
5818dead397c7761f8cc7d3d,highway,0.0,34.0993,-84.2566,34.1408,-84.2484,34.1014,-84.2687,0.71,2.96,44.17,7.42,12,0.4166666666666667,1
