device_id,place,customer_weight,user_home_lat,user_home_long,user_work_lat,user_work_long,venue_lat,venue_long,distance_from_home_miles_mean,distance_from_work_miles_mean,time_in_place_minutes,visit_hour,visit_count,pct_weekend,places_visits
577dec9fa5a78f62af1fdff0,holcomb,0.0,34.0133,-84.2973,34.0221,-84.2868,34.0188,-84.3119,0.92,1.45,55.0,15.4,5,0.4,1
57f40e58ff02114a342b97fa,holcomb,0.0,33.9567,-84.2506,34.0508,-84.2857,34.0188,-84.3119,5.54,2.68,64.33,21.17,6,0.0,1
57f4e0edff021106a92b97ef,holcomb,0.0,34.0662,-84.5955,33.9616,-84.4795,34.0188,-84.3119,16.57,10.38,116.0,17.0,1,1.0,1
57f94d9d397c7758d7885e82,holcomb,0.0,34.0289,-84.282,34.0066,-84.2911,34.0188,-84.3119,1.85,1.45,60.67,15.33,3,0.3333333333333333,1
57fa9182a5a78f478bcda8a7,holcomb,0.0,34.0026,-84.2734,33.8268,-84.3459,34.0188,-84.3119,2.47,13.41,67.0,15.67,3,0.0,1
57fb5ef5a5a78f15e9ec6ecc,holcomb,417.05,34.0173,-84.301,33.9065,-84.354,34.0188,-84.3119,0.63,8.12,82.0,13.17,6,0.0,1
57fc2ce51ae60d3ab4c1b3da,holcomb,0.0,33.9535,-84.2549,34.0447,-84.3106,34.0188,-84.3119,5.57,1.8,172.0,18.0,1,0.0,1
57fcd4281ae60d0f48c1b3b7,holcomb,0.0,34.0968,-84.4081,34.153,-84.3392,34.0188,-84.3119,7.71,9.41,74.0,10.0,1,0.0,1
57fe24a9397c7702ad4d32ba,holcomb,0.0,34.0499,-84.3159,33.8026,-84.3934,34.0188,-84.3119,2.17,15.65,95.0,19.0,1,0.0,1
580035411ae60d3c42c1b43b,holcomb,0.0,34.2635,-84.2219,34.218,-84.136,34.0188,-84.3119,17.68,17.05,108.0,19.0,1,0.0,1
580100b9a5a78f0bad79c227,holcomb,0.0,33.975,-84.3433,33.9065,-84.3536,34.0188,-84.3119,3.52,8.12,117.25,18.75,4,0.0,1
58036b27a5a78f765079c206,holcomb,0.0,33.9896,-84.3482,34.0736,-84.258,34.0188,-84.3119,2.89,4.89,66.0,18.0,1,1.0,1
5803b130a5a78f148e79c230,holcomb,0.0,34.0147,-84.3194,33.9597,-84.2079,34.0188,-84.3119,0.52,7.22,80.0,18.0,1,1.0,1
5803b4d0397c774ae04d32ba,holcomb,0.0,34.086,-84.3793,34.0161,-84.328,34.0188,-84.3119,6.04,0.94,121.0,17.0,1,0.0,1
58054a911ae60d4abac1b3c5,holcomb,0.0,33.9888,-84.2795,33.9146,-84.3612,34.0188,-84.3119,2.78,7.73,64.12,14.88,8,0.125,1
58064eadff02110cccad3248,holcomb,0.0,33.9721,-84.19,33.9981,-84.1639,34.0188,-84.3119,7.69,8.6,152.0,17.0,1,0.0,1
5807fafda5a78f4195fec66e,holcomb,0.0,34.073,-84.1884,34.0415,-84.3241,34.0188,-84.3119,8.0,1.72,71.0,17.0,1,0.0,1
5808eddaa5a78f1b02fec682,holcomb,0.0,34.1344,-84.1451,33.9056,-84.3585,34.0188,-84.3119,12.45,8.26,151.0,17.0,1,1.0,1
5808f96fa5a78f209dfec669,holcomb,0.0,34.0185,-84.2535,33.845,-84.3159,34.0188,-84.3119,3.34,12.01,83.0,12.0,1,1.0,1
58090aab397c77218a5f92ee,holcomb,0.0,34.019,-84.2805,33.9237,-84.3501,34.0188,-84.3119,1.79,6.93,78.0,17.0,1,0.0,1
58096ea81ae60d09bc420dc7,holcomb,0.0,34.0141,-84.4597,33.9142,-84.3423,34.0188,-84.3119,8.47,7.44,55.0,16.0,1,1.0,1
580aa736ff021164ae358a0f,holcomb,0.0,33.9858,-84.2947,33.7577,-84.3872,34.0188,-84.3119,2.48,18.55,112.0,20.0,1,0.0,1
580e2aea397c77676a5f92fd,holcomb,0.0,33.8977,-84.6091,33.8558,-84.4855,34.0188,-84.3119,18.98,15.03,158.0,19.0,1,0.0,1
580e3124a5a78f53bdfec669,holcomb,0.0,33.9974,-84.4136,33.8485,-84.3677,34.0188,-84.3119,6.01,12.19,64.0,18.0,1,1.0,1
580e71f51ae60d6952420db7,holcomb,0.0,34.0084,-84.316,33.9207,-84.3484,34.0188,-84.3119,0.76,7.09,74.5,17.25,4,0.25,1
580e89a51ae60d7871420daa,holcomb,0.0,34.0002,-84.2861,34.2307,-84.0178,34.0188,-84.3119,1.95,22.31,84.0,19.0,1,0.0,1
580ea8821ae60d0aa8420db3,holcomb,0.0,33.9896,-84.3352,34.0854,-84.2458,34.0188,-84.3119,2.42,5.96,72.09,19.18,11,0.09090909090909091,1
580f4ef61ae60d4480420dad,holcomb,0.0,33.9812,-84.0224,34.029,-84.3592,34.0188,-84.3119,16.79,2.8,107.0,10.0,1,0.0,1
5810ee79397c7708d68de06c,holcomb,0.0,33.9997,-84.2995,34.0012,-84.3004,34.0188,-84.3119,1.5,1.38,81.5,14.5,2,0.5,1
58113cdb397c7742a28de06f,holcomb,0.0,33.8907,-84.3111,33.9073,-84.015,34.0188,-84.3119,8.85,18.68,104.0,17.0,1,1.0,1
58122d9cff02115797bbc225,holcomb,163.92,34.0016,-84.2732,33.9223,-84.3373,34.0188,-84.3119,2.51,6.82,39.5,9.5,4,0.0,1
